genome_id,Adherence,Aminoglycoside_resistance,Antimicrobial_activity/Competitive_advantage,Beta-lactam_resistance,Biofilm,Chloramphenicol_resistance,Colistin_(Polymyxin)_resistance,Effector_delivery_system,Exoenzyme,Exotoxin,Fluoroquinolone_resistance,Fosfomycin_resistance,ICE,IME,Immune_modulation,Invasion,Macrolide_resistance,Motility,Nutritional/Metabolic_factor,Other_Mobile_Elements,Oxazolidinone_and_Phenicol_Resistance,Phenicol_resistance,Regulation,Stress_survival,Sulfonamide_resistance,Tetracycline_resistance,Resistance_Potential,Mobile_Elements_Potential,Zoonotic_Potential,Virulence_Gene_Count,Final_Classification
173.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
173.421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Resistance,No Mobile Elements,Virulent,1,Low risk bacteria
